dex,species,family_id,family_candy_species_id,line_members,candy_key,candy_display_species,candy_display_name,candy_sprite,expected_line,valid
1,Bulbasaur,1,1,1:Bulbasaur;2:Ivysaur;3:Venusaur,species-1,Bulbasaur,Bulbasaur Evolution Candy,images/pokemon/1.gif,1:Bulbasaur;2:Ivysaur;3:Venusaur,true
2,Ivysaur,1,1,1:Bulbasaur;2:Ivysaur;3:Venusaur,species-1,Bulbasaur,Bulbasaur Evolution Candy,images/pokemon/1.gif,1:Bulbasaur;2:Ivysaur;3:Venusaur,true
3,Venusaur,1,1,1:Bulbasaur;2:Ivysaur;3:Venusaur,species-1,Bulbasaur,Bulbasaur Evolution Candy,images/pokemon/1.gif,1:Bulbasaur;2:Ivysaur;3:Venusaur,true
4,Charmander,4,4,4:Charmander;5:Charmeleon;6:Charizard,species-4,Charmander,Charmander Evolution Candy,images/pokemon/4.gif,4:Charmander;5:Charmeleon;6:Charizard,true
5,Charmeleon,4,4,4:Charmander;5:Charmeleon;6:Charizard,species-4,Charmander,Charmander Evolution Candy,images/pokemon/4.gif,4:Charmander;5:Charmeleon;6:Charizard,true
6,Charizard,4,4,4:Charmander;5:Charmeleon;6:Charizard,species-4,Charmander,Charmander Evolution Candy,images/pokemon/4.gif,4:Charmander;5:Charmeleon;6:Charizard,true
7,Squirtle,7,7,7:Squirtle;8:Wartortle;9:Blastoise,species-7,Squirtle,Squirtle Evolution Candy,images/pokemon/7.gif,7:Squirtle;8:Wartortle;9:Blastoise,true
8,Wartortle,7,7,7:Squirtle;8:Wartortle;9:Blastoise,species-7,Squirtle,Squirtle Evolution Candy,images/pokemon/7.gif,7:Squirtle;8:Wartortle;9:Blastoise,true
9,Blastoise,7,7,7:Squirtle;8:Wartortle;9:Blastoise,species-7,Squirtle,Squirtle Evolution Candy,images/pokemon/7.gif,7:Squirtle;8:Wartortle;9:Blastoise,true
10,Caterpie,10,10,10:Caterpie;11:Metapod;12:Butterfree,species-10,Caterpie,Caterpie Evolution Candy,images/pokemon/10.gif,10:Caterpie;11:Metapod;12:Butterfree,true
11,Metapod,10,10,10:Caterpie;11:Metapod;12:Butterfree,species-10,Caterpie,Caterpie Evolution Candy,images/pokemon/10.gif,10:Caterpie;11:Metapod;12:Butterfree,true
