"slug","pokeapi_id","name","category","sprite_available","game_key"
"masterball","1","Master Ball","standard-balls","true","masterball"
"ultraball","2","Ultra Ball","standard-balls","true","ultraball"
"greatball","3","Great Ball","standard-balls","true","greatball"
"pokeball","4","Poké Ball","standard-balls","true","pokeball"
"safariball","5","Safari Ball","standard-balls","true","safariball"
"netball","6","Net Ball","special-balls","true","netball"
"diveball","7","Dive Ball","special-balls","true","diveball"
"nestball","8","Nest Ball","special-balls","true","nestball"
"repeatball","9","Repeat Ball","special-balls","true","repeatball"
"timerball","10","Timer Ball","special-balls","true","timerball"
"luxuryball","11","Luxury Ball","special-balls","true","luxuryball"
"premierball","12","Premier Ball","special-balls","true","premierball"
"duskball","13","Dusk Ball","special-balls","true","duskball"
"healball","14","Heal Ball","special-balls","true","healball"
"quickball","15","Quick Ball","special-balls","true","quickball"
"cherishball","16","Cherish Ball","special-balls","true","cherishball"
"potion","17","Potion","healing","true","potion"
"antidote","18","Antidote","status-cures","true","antidote"
"burnheal","19","Burn Heal","status-cures","true","burnheal"
"iceheal","20","Ice Heal","status-cures","true","iceheal"
"awakening","21","Awakening","status-cures","true","awakening"
"paralyzeheal","22","Paralyze Heal","status-cures","true","paralyzeheal"
"fullrestore","23","Full Restore","healing","true","fullrestore"
"maxpotion","24","Max Potion","healing","true","maxpotion"
"hyperpotion","25","Hyper Potion","healing","true","hyperpotion"
"superpotion","26","Super Potion","healing","true","superpotion"
"fullheal","27","Full Heal","status-cures","true","fullheal"
"revive","28","Revive","revival","true","revive"
"maxrevive","29","Max Revive","revival","true","maxrevive"
"freshwater","30","Fresh Water","healing","true","freshwater"
"sodapop","31","Soda Pop","healing","true","sodapop"
"lemonade","32","Lemonade","healing","true","lemonade"
"moomoomilk","33","Moomoo Milk","healing","true","moomoomilk"
"energypowder","34","Energy Powder","healing","true","energypowder"
"energyroot","35","Energy Root","healing","true","energyroot"
"healpowder","36","Heal Powder","status-cures","true","healpowder"
"revivalherb","37","Revival Herb","revival","true","revivalherb"
"ether","38","Ether","pp-recovery","true","ether"
"maxether","39","Max Ether","pp-recovery","true","maxether"
"elixir","40","Elixir","pp-recovery","true","elixir"
"maxelixir","41","Max Elixir","pp-recovery","true","maxelixir"
"lavacookie","42","Lava Cookie","status-cures","true","lavacookie"
"berryjuice","43","Berry Juice","healing","true","berryjuice"
"sacredash","44","Sacred Ash","revival","true","sacredash"
"hpup","45","HP Up","vitamins","true","hpup"
"protein","46","Protein","vitamins","true","protein"
"iron","47","Iron","vitamins","true","iron"
"carbos","48","Carbos","vitamins","true","carbos"
"calcium","49","Calcium","vitamins","true","calcium"
"rarecandy","50","Rare Candy","vitamins","true","rarecandy"
"ppup","51","PP Up","vitamins","true","ppup"
"zinc","52","Zinc","vitamins","true","zinc"
"ppmax","53","PP Max","vitamins","true","ppmax"
"oldgateau","54","Old Gateau","status-cures","true","oldgateau"
"guardspec","55","Guard Spec.","stat-boosts","true","guardspec"
"direhit","56","Dire Hit","stat-boosts","true","direhit"
"xattack","57","X Attack","stat-boosts","true","xattack"
"xdefense","58","X Defense","stat-boosts","true","xdefense"
"xspeed","59","X Speed","stat-boosts","true","xspeed"
"xaccuracy","60","X Accuracy","stat-boosts","true","xaccuracy"
"xspatk","61","X Sp. Atk","stat-boosts","true","xspatk"
"xspdef","62","X Sp. Def","stat-boosts","true","xspdef"
"pokedoll","63","Poké Doll","spelunking","true","pokedoll"
"fluffytail","64","Fluffy Tail","spelunking","true","fluffytail"
"blueflute","65","Blue Flute","flutes","true","blueflute"
"yellowflute","66","Yellow Flute","flutes","true","yellowflute"
"redflute","67","Red Flute","flutes","true","redflute"
"blackflute","68","Black Flute","spelunking","true","blackflute"
"whiteflute","69","White Flute","spelunking","true","whiteflute"
"shoalsalt","70","Shoal Salt","collectibles","true","shoalsalt"
"shoalshell","71","Shoal Shell","collectibles","true","shoalshell"
"redshard","72","Red Shard","collectibles","true","redshard"
"blueshard","73","Blue Shard","collectibles","true","blueshard"
"yellowshard","74","Yellow Shard","collectibles","true","yellowshard"
"greenshard","75","Green Shard","collectibles","true","greenshard"
"superrepel","76","Super Repel","spelunking","true","superrepel"
"maxrepel","77","Max Repel","spelunking","true","maxrepel"
"escaperope","78","Escape Rope","spelunking","true","escaperope"
"repel","79","Repel","spelunking","true","repel"
"sunstone","80","Sun Stone","evolution","true","sunstone"
"moonstone","81","Moon Stone","evolution","true","moonstone"
"firestone","82","Fire Stone","evolution","true","firestone"
"thunderstone","83","Thunder Stone","evolution","true","thunderstone"
"waterstone","84","Water Stone","evolution","true","waterstone"
"leafstone","85","Leaf Stone","evolution","true","leafstone"
"tinymushroom","86","Tiny Mushroom","loot","true","tinymushroom"
"bigmushroom","87","Big Mushroom","loot","true","bigmushroom"
"pearl","88","Pearl","loot","true","pearl"
"bigpearl","89","Big Pearl","loot","true","bigpearl"
"stardust","90","Stardust","loot","true","stardust"
"starpiece","91","Star Piece","loot","true","starpiece"
"nugget","92","Nugget","loot","true","nugget"
"heartscale","93","Heart Scale","collectibles","true","heartscale"
"honey","94","Honey","dex-completion","true","honey"
"growthmulch","95","Growth Mulch","mulch","true","growthmulch"
"dampmulch","96","Damp Mulch","mulch","true","dampmulch"
"stablemulch","97","Stable Mulch","mulch","true","stablemulch"
"gooeymulch","98","Gooey Mulch","mulch","true","gooeymulch"
"rootfossil","99","Root Fossil","dex-completion","true","rootfossil"
"clawfossil","100","Claw Fossil","dex-completion","true","clawfossil"
"helixfossil","101","Helix Fossil","dex-completion","true","helixfossil"
"domefossil","102","Dome Fossil","dex-completion","true","domefossil"
"oldamber","103","Old Amber","dex-completion","true","oldamber"
"armorfossil","104","Armor Fossil","dex-completion","true","armorfossil"
"skullfossil","105","Skull Fossil","dex-completion","true","skullfossil"
