NationalDex,Species,PokemonFormId,Form,AssetFrontNormal,AssetFrontShiny,AssetBackNormal,AssetBackShiny,AssetFemale,DatabaseKnown,ResolverSupported,AdminTargetable,EventTargetable,NormalEncounterEnabled,SpecialEncounterEnabled,PlayerObtainable,PokedexRequired,Classification,Notes
1,bulbasaur,1,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
2,ivysaur,2,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
3,venusaur,3,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
3,venusaur,10033,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
3,venusaur,10195,Gigantamax,true,true,false,false,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
4,charmander,4,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
5,charmeleon,5,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
6,charizard,6,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
6,charizard,10034,Mega-X,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
6,charizard,10035,Mega-Y,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
6,charizard,10196,Gigantamax,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
7,squirtle,7,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
8,wartortle,8,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
9,blastoise,9,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
9,blastoise,10036,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
9,blastoise,10197,Gigantamax,true,true,false,false,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
10,caterpie,10,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
11,metapod,11,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
12,butterfree,12,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
12,butterfree,10198,Gigantamax,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
13,weedle,13,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
14,kakuna,14,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
15,beedrill,15,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
15,beedrill,10090,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
16,pidgey,16,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
17,pidgeotto,17,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
18,pidgeot,18,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
18,pidgeot,10073,Mega,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
19,rattata,19,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
19,rattata,10091,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
20,raticate,20,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
20,raticate,10092,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
20,raticate,10093,Totem-Alola,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
21,spearow,21,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
22,fearow,22,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
23,ekans,23,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
24,arbok,24,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
25,pikachu,25,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
25,pikachu,10080,Rock-Star,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10081,Belle,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10082,Pop-Star,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10083,Phd,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10084,Libre,true,true,false,false,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10085,Cosplay,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10094,Original-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=original-cap enabled_in_play=false
25,pikachu,10095,Hoenn-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=hoenn-cap enabled_in_play=false
25,pikachu,10096,Sinnoh-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=sinnoh-cap enabled_in_play=false
25,pikachu,10097,Unova-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=unova-cap enabled_in_play=false
25,pikachu,10098,Kalos-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=kalos-cap enabled_in_play=false
25,pikachu,10099,Alola-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alola-cap enabled_in_play=false
25,pikachu,10148,Partner-Cap,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=partner-cap enabled_in_play=false
25,pikachu,10158,Starter,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10160,World-Cap,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
25,pikachu,10199,Gigantamax,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=gigantamax enabled_in_play=false
26,raichu,26,Base,true,true,true,true,true,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
26,raichu,10100,Alolan,true,true,true,true,false,true,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only; Disabled SWSH species_forms row form_key=alolan enabled_in_play=false
27,sandshrew,27,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
27,sandshrew,10101,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
28,sandslash,28,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
28,sandslash,10102,Alolan,true,true,true,true,false,false,false,false,false,false,false,false,false,ASSET_ONLY,No PokemonFormId in production DB; special_events/admin/launch are species(dex)+variant(shiny/gender) only
29,nidoran-f,29,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
30,nidorina,30,Base,true,true,true,true,false,true,true,true,true,true,false,true,true,BASE_NORMAL,Ordinary Kanto candidate structurally; live spawn_pick also includes post-151 national species
