Dex,Species,FormId,FormLabel,FormKey,Kind,UiCategory
"3","Venusaur","10033","Mega","mega","mega","mega"
"3","Venusaur","10195","Gigantamax","gigantamax","gigantamax","gigantamax"
"6","Charizard","10034","Mega X","mega-x","mega","mega"
"6","Charizard","10035","Mega Y","mega-y","mega","mega"
"6","Charizard","10196","Gigantamax","gigantamax","gigantamax","gigantamax"
"9","Blastoise","10036","Mega","mega","mega","mega"
"9","Blastoise","10197","Gigantamax","gigantamax","gigantamax","gigantamax"
"12","Butterfree","10198","Gigantamax","gigantamax","gigantamax","gigantamax"
"15","Beedrill","10090","Mega","mega","mega","mega"
"18","Pidgeot","10073","Mega","mega","mega","mega"
"19","Rattata","10091","Alolan","alolan","regional","regional"
"20","Raticate","10092","Alolan","alolan","regional","regional"
"20","Raticate","10093","Totem Alola","totem-alola","other","regional"
"25","Pikachu","10080","Rock Star","rock-star","cosplay","pikachu"
"25","Pikachu","10081","Belle","belle","cosplay","pikachu"
"25","Pikachu","10082","Pop Star","pop-star","cosplay","pikachu"
"25","Pikachu","10083","PhD","phd","cosplay","pikachu"
"25","Pikachu","10084","Libre","libre","cosplay","pikachu"
"25","Pikachu","10085","Cosplay","cosplay","cosplay","pikachu"
"25","Pikachu","10094","Original Cap","original-cap","cap","pikachu"
"25","Pikachu","10095","Hoenn Cap","hoenn-cap","cap","pikachu"
"25","Pikachu","10096","Sinnoh Cap","sinnoh-cap","cap","pikachu"
"25","Pikachu","10097","Unova Cap","unova-cap","cap","pikachu"
"25","Pikachu","10098","Kalos Cap","kalos-cap","cap","pikachu"
"25","Pikachu","10099","Alola Cap","alola-cap","cap","pikachu"
"25","Pikachu","10148","Partner Cap","partner-cap","cap","pikachu"
"25","Pikachu","10158","Starter","starter","starter","pikachu"
"25","Pikachu","10160","World Cap","world-cap","cap","pikachu"
"25","Pikachu","10199","Gigantamax","gigantamax","gigantamax","gigantamax"
"26","Raichu","10100","Alolan","alolan","regional","regional"
"27","Sandshrew","10101","Alolan","alolan","regional","regional"
"28","Sandslash","10102","Alolan","alolan","regional","regional"
"36","Clefable","10278","Mega","mega","mega","mega"
"37","Vulpix","10103","Alolan","alolan","regional","regional"
"38","Ninetales","10104","Alolan","alolan","regional","regional"
"50","Diglett","10105","Alolan","alolan","regional","regional"
"51","Dugtrio","10106","Alolan","alolan","regional","regional"
"52","Meowth","10107","Alolan","alolan","regional","regional"
"52","Meowth","10161","Galarian","galarian","regional","regional"
"52","Meowth","10200","Gigantamax","gigantamax","gigantamax","gigantamax"
"53","Persian","10108","Alolan","alolan","regional","regional"
"58","Growlithe","10229","Hisuian","hisuian","regional","regional"
"59","Arcanine","10230","Hisuian","hisuian","regional","regional"
"65","Alakazam","10037","Mega","mega","mega","mega"
"68","Machamp","10201","Gigantamax","gigantamax","gigantamax","gigantamax"
"71","Victreebel","10279","Mega","mega","mega","mega"
"74","Geodude","10109","Alolan","alolan","regional","regional"
"75","Graveler","10110","Alolan","alolan","regional","regional"
"76","Golem","10111","Alolan","alolan","regional","regional"
"77","Ponyta","10162","Galarian","galarian","regional","regional"
"78","Rapidash","10163","Galarian","galarian","regional","regional"
"79","Slowpoke","10164","Galarian","galarian","regional","regional"
"80","Slowbro","10071","Mega","mega","mega","mega"
"80","Slowbro","10165","Galarian","galarian","regional","regional"
"83","Farfetch'd","10166","Galarian","galarian","regional","regional"
"88","Grimer","10112","Alolan","alolan","regional","regional"
"89","Muk","10113","Alolan","alolan","regional","regional"
"94","Gengar","10038","Mega","mega","mega","mega"
"94","Gengar","10202","Gigantamax","gigantamax","gigantamax","gigantamax"
"99","Kingler","10203","Gigantamax","gigantamax","gigantamax","gigantamax"
"100","Voltorb","10231","Hisuian","hisuian","regional","regional"
"101","Electrode","10232","Hisuian","hisuian","regional","regional"
"103","Exeggutor","10114","Alolan","alolan","regional","regional"
"105","Marowak","10115","Alolan","alolan","regional","regional"
"105","Marowak","10149","Totem","totem","other","regional"
"110","Weezing","10167","Galarian","galarian","regional","regional"
"115","Kangaskhan","10039","Mega","mega","mega","mega"
"121","Starmie","10280","Mega","mega","mega","mega"
"122","Mr. Mime","10168","Galarian","galarian","regional","regional"
"127","Pinsir","10040","Mega","mega","mega","mega"
"128","Tauros","10250","Paldea Combat Breed","paldea-combat-breed","regional","regional"
"128","Tauros","10251","Paldea Blaze Breed","paldea-blaze-breed","regional","regional"
"128","Tauros","10252","Paldea Aqua Breed","paldea-aqua-breed","regional","regional"
"130","Gyarados","10041","Mega","mega","mega","mega"
"131","Lapras","10204","Gigantamax","gigantamax","gigantamax","gigantamax"
"133","Eevee","10159","Starter","starter","starter","costume"
"133","Eevee","10205","Gigantamax","gigantamax","gigantamax","gigantamax"
"142","Aerodactyl","10042","Mega","mega","mega","mega"
"143","Snorlax","10206","Gigantamax","gigantamax","gigantamax","gigantamax"
"144","Articuno","10169","Galarian","galarian","regional","regional"
"145","Zapdos","10170","Galarian","galarian","regional","regional"
"146","Moltres","10171","Galarian","galarian","regional","regional"
"149","Dragonite","10281","Mega","mega","mega","mega"
"150","Mewtwo","10043","Mega X","mega-x","mega","mega"
"150","Mewtwo","10044","Mega Y","mega-y","mega","mega"
